symbol,language,region,quoteType,quoteSourceName,triggerable,currency,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,trailingAnnualDividendRate,trailingAnnualDividendYield,firstTradeDateMilliseconds,priceHint,epsTrailingTwelveMonths,epsForward,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,tradeable,marketState,earningsTimestampStart,earningsTimestampEnd,trailingPE,epsCurrentYear,priceEpsCurrentYear,prevName,nameChangeDate,dividendDate,displayName
8KMILES.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,8K MILES SOFTWARE,8K Miles Software Services Limited,finmb_20963387,Asia/Kolkata,IST,19800000.0,in_market,False,3.699997,4.94652,1608717565.0,78.5,78.5,74.8 - 78.5,74.8,31741.0,74.8,0.0,0.0,0.0,0.0,NSE,INR,76.0,58311.0,31329.0,57.9,2.8106797,20.6 - 112.85,-34.35,-0.30438635,20.6,112.85,1494413940.0,7.0,0.09358288,1390967100000.0,2.0,-39.31,52.98,30517600.0,8.12,84.729416,-6.229416,-0.073521286,50.659714,27.840286,0.54955477,2378259456.0,1.4816912,9.667488,15.0,15.0,False,POSTPOST,,,,,,,,,
AARVI.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,Aarvi Encon Limited,Aarvi Encon Limited,finmb_411095137,Asia/Kolkata,IST,19800000.0,in_market,False,0.0,0.0,1608717590.0,41.05,43.45,40.0 - 43.45,40.0,4433.0,41.05,0.0,0.0,,,NSE,INR,43.45,4709.0,16609.0,20.9,1.0372208,20.15 - 49.8,-8.75,-0.17570281,20.15,49.8,1597316340.0,1.0,0.024360536,1507261500000.0,2.0,6.351,,14784000.0,45.102,39.3,1.75,0.044529263,31.152878,9.897121,0.31769526,606883200.0,,0.9101592,15.0,15.0,False,POSTPOST,1597316340.0,1597316340.0,6.463549,,,,,,
ABAN.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,ABAN OFFSHORE,Aban Offshore Limited,finmb_882596,Asia/Kolkata,IST,19800000.0,in_market,False,0.29999924,1.0968894,1608717597.0,27.65,28.3,26.85 - 28.3,26.85,47606.0,27.35,0.0,0.0,0.0,0.0,NSE,INR,27.8,78627.0,97963.0,14.799999,1.1517509,12.85 - 34.95,-7.300001,-0.20886984,12.85,34.95,1549295940.0,3.6,0.13162705,1029123900000.0,2.0,-1476.578,50.16,58365300.0,-2622.449,26.794117,0.85588264,0.03194293,25.683453,1.966547,0.07656864,1613800576.0,0.55123603,-0.010543579,15.0,15.0,False,POSTPOST,1549295940.0,1549295940.0,,,,,,,
ABBOTINDIA.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,ABBOTT INDIA LTD,Abbott India Limited,finmb_9608883,Asia/Kolkata,IST,19800000.0,in_market,False,267.25,1.7230709,1608717597.0,15777.35,15900.0,15526.0 - 15900.0,15526.0,17990.0,15510.1,0.0,0.0,0.0,0.0,NSE,INR,15643.5,12004.0,24585.0,3590.8496,0.294658,12186.5 - 18679.8,-2902.4512,-0.15537913,12186.5,18679.8,,107.0,0.0068987305,1029123900000.0,2.0,310.007,,21249300.0,1064.659,15581.221,196.1289,0.012587518,15924.337,-146.9873,-0.009230357,334866350080.0,,14.819157,15.0,15.0,False,POSTPOST,,,50.893528,,,,,,
ABIRLANUVO.NS,en-US,US,MUTUALFUND,Delayed Quote,False,,YHD,ADITYA BIRLA NUVO INR10,,,America/New_York,EST,-18000000.0,us_market,False,,,1561759658.0,,,,,,,,,,,YHD,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,15.0,0.0,False,PRE,,,,,,,,,
ABMINTLTD.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,ABM INTERNATIONAL,ABM International Limited,finmb_183636916,Asia/Kolkata,IST,19800000.0,in_market,False,1.1500015,4.989161,1608715585.0,24.2,24.2,23.05 - 24.2,23.05,393.0,23.05,0.0,0.0,0.0,0.0,NSE,INR,23.05,957.0,967.0,12.200001,1.0166668,12.0 - 41.7,-17.5,-0.41966426,12.0,41.7,,0.042,0.0018221259,1467171900000.0,2.0,-3.381,,11760000.0,11.492,24.02794,0.17206001,0.007160831,20.854677,3.3453236,0.1604112,284592000.0,,2.1058128,15.0,15.0,False,POSTPOST,,,,,,,,,
ACC.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,ACC LIMITED,ACC Limited,finmb_873802,Asia/Kolkata,IST,19800000.0,in_market,False,13.900024,0.88820887,1608717600.0,1578.85,1583.0,1541.0 - 1583.0,1541.0,1079470.0,1564.95,0.0,0.0,0.0,0.0,NSE,INR,1547.0,1652703.0,1310019.0,683.69995,0.7637825,895.15 - 1785.0,-206.15002,-0.11549021,895.15,1785.0,1603105140.0,14.0,0.008945973,1025495100000.0,2.0,65.409,69.31,187787008.0,632.36,1668.2457,-89.39575,-0.05358668,1460.6182,118.23181,0.08094642,296356446208.0,22.779541,2.4967582,15.0,15.0,False,POSTPOST,1612522740.0,1612872000.0,24.138117,,,,,,
ACCELYA.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,ACCELYA SOLUTIONS,Accelya Solutions India Limited,finmb_141035,Asia/Kolkata,IST,19800000.0,in_market,False,30.0,3.2397408,1608717546.0,956.0,975.0,930.55 - 975.0,930.55,5227.0,926.0,0.0,0.0,0.0,0.0,NSE,INR,930.55,13936.0,17545.0,156.0,0.195,800.0 - 1130.0,-174.0,-0.1539823,800.0,1130.0,1603796340.0,10.0,0.010799136,1025495100000.0,2.0,37.713,72.4,14926300.0,163.976,896.77057,59.22943,0.066047475,965.268,-9.268005,-0.009601484,14280919040.0,13.204419,5.8301215,15.0,15.0,False,POSTPOST,1603796340.0,1603796340.0,25.349348,,,,,,
ACE.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,ACTION CONSTRUCT,Action Construction Equipment Limited,finmb_26813921,Asia/Kolkata,IST,19800000.0,in_market,False,7.599991,5.7970943,1608717598.0,138.7,139.4,130.7 - 139.4,130.7,757397.0,131.1,0.0,0.0,0.0,0.0,NSE,INR,131.95,545711.0,1033412.0,107.35,3.4242423,31.35 - 141.4,-2.699997,-0.019094747,31.35,141.4,,0.5,0.0038138824,1159242300000.0,2.0,3.215,9.6,113483000.0,40.021,103.479996,35.22,0.34035566,73.303215,65.39678,0.8921407,15758678016.0,14.447916,3.4656804,15.0,15.0,False,POSTPOST,,,43.141525,6.47,21.437403,,,,
ADANIENT.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,ADANI ENTERPRISES,Adani Enterprises Limited,finmb_883013,Asia/Kolkata,IST,19800000.0,in_market,False,4.8000183,1.0462116,1608717601.0,463.6,466.8,454.2 - 466.8,454.2,4600814.0,458.8,0.0,0.0,0.0,0.0,NSE,INR,458.0,5521309.0,4770835.0,347.2,2.982818,116.4 - 473.95,-10.350006,-0.02183776,116.4,473.95,,1.0,0.002179599,1025495100000.0,2.0,8.0,,1099810048.0,153.197,410.19165,53.408356,0.13020343,277.91418,185.68582,0.6681408,510228889600.0,,3.0261688,15.0,15.0,False,POSTPOST,,,57.95,,,,,,
