,maxAge,name,age,title,yearBorn,fiscalYear,totalPay,exercisedValue,unexercisedValue
0,1,Mr. Elon R. Musk,47.0,"Co-Founder, CEO & Director",1972.0,2019.0,23760.0,0,0
1,1,Mr. Zachary J. Kirkhorn,34.0,Chief Financial Officer,1985.0,2019.0,276058.0,0,4650676
2,1,Mr. Jerome  Guillen,46.0,Pres of Automotive Division,1973.0,2019.0,301154.0,2559610,9999838
3,1,Mr. Andrew D. Baglino,38.0,Sr. VP of Powertrain & Energy Engineering,1981.0,2019.0,301154.0,210349,4023224
4,1,Mr. Vaibhav  Taneja,41.0,Corp. Controller & Chief Accounting Officer,1978.0,,,0,0
5,1,Mr. Martin  Viecha,,Sr. Director for Investor Relations,,,,0,0
6,1,Al  Prescott,,VP of Legal,,,,0,0
7,1,Mr. Dave  Arnold,,Sr. Director of Global Communications,,,,0,0
8,1,Brian  Scelfo,,Sr. Director of Corp. Devel.,,,,0,0
9,1,Mr. Jeffrey B. Straubel,43.0,Sr. Advisor,1976.0,2018.0,,0,0
